latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.790861,76.6313,88.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2016-12-14,28.7,22.1,4.60,6.6,24.7
2016-12-15,30.8,21.2,0.00,14.5,25.6
2016-12-16,31.0,20.3,0.00,15.5,25.7
2016-12-17,31.5,21.1,0.00,13.2,26.0
2016-12-18,31.8,20.3,0.00,11.0,25.8
2016-12-19,32.5,20.4,0.00,12.5,26.3
2016-12-20,31.0,21.7,0.00,19.3,26.9
2016-12-21,32.6,22.3,0.00,16.2,27.6
2016-12-22,33.2,21.3,0.00,7.4,27.3
2016-12-23,32.7,21.6,0.00,6.5,27.2
2016-12-24,33.3,20.3,0.00,7.8,26.8
2016-12-25,32.3,19.3,0.00,9.2,26.0
2016-12-26,33.5,20.5,0.00,6.6,27.2
2016-12-27,33.8,20.5,0.00,17.5,27.5
2016-12-28,31.9,24.0,0.00,20.3,27.4
2016-12-29,33.0,21.1,0.00,18.3,27.1
2016-12-30,32.8,19.1,0.00,14.9,25.5
2016-12-31,33.0,18.5,0.00,12.7,25.4
2017-01-01,34.3,21.8,0.00,16.9,26.9
2017-01-02,32.6,22.9,0.00,13.0,27.1
2017-01-03,34.3,23.1,0.00,18.4,27.5
2017-01-04,33.8,23.1,0.00,16.9,27.7
2017-01-05,33.8,22.5,0.00,20.2,27.2
2017-01-06,33.8,22.7,1.10,19.9,27.3
2017-01-07,33.7,22.5,0.00,18.7,27.0
2017-01-08,34.0,22.5,0.00,20.2,26.9
2017-01-09,32.7,22.0,0.00,21.0,26.3
2017-01-10,31.5,22.4,0.00,16.3,26.5
2017-01-11,31.6,22.7,0.00,14.2,27.2
2017-01-12,31.5,22.5,0.00,14.9,26.8
2017-01-13,32.4,23.0,0.50,16.6,27.3
2017-01-14,33.2,23.1,0.00,24.0,27.2
2017-01-15,33.7,22.2,0.00,26.0,27.2
2017-01-16,33.8,23.0,0.00,18.0,27.4
2017-01-17,33.8,22.0,0.00,20.4,27.4
2017-01-18,33.6,21.6,0.00,22.7,26.9
2017-01-19,31.8,21.5,0.00,25.2,26.6
2017-01-20,34.8,22.5,0.00,19.1,28.5
2017-01-21,32.7,24.0,0.60,25.7,27.8
2017-01-22,29.1,22.6,0.10,20.4,26.1
2017-01-23,34.3,22.4,0.00,23.4,28.1
2017-01-24,35.0,22.9,0.00,25.7,28.7
2017-01-25,30.9,23.7,0.50,22.1,27.5
2017-01-26,32.5,24.5,0.00,23.1,27.7
2017-01-27,33.0,24.2,3.00,20.2,27.5
2017-01-28,30.6,23.9,1.70,20.3,26.6
2017-01-29,32.5,24.5,0.00,24.3,28.3
2017-01-30,34.0,23.7,0.00,22.5,28.3
2017-01-31,34.7,23.2,0.00,20.5,28.2
2017-02-01,34.1,22.4,0.00,22.5,27.2
2017-02-02,34.0,22.5,0.00,20.2,27.2
2017-02-03,33.7,22.2,0.00,22.7,27.7
2017-02-04,33.7,22.4,0.00,23.1,27.4
2017-02-05,34.8,22.0,0.00,19.6,27.4
2017-02-06,34.8,22.8,1.10,17.8,28.0
2017-02-07,35.2,23.6,0.10,20.3,28.4
2017-02-08,36.6,23.0,0.00,16.6,28.6
2017-02-09,36.5,23.0,0.00,19.4,28.3
2017-02-10,36.0,22.5,0.00,19.8,28.2
2017-02-11,36.1,22.5,0.00,21.6,28.0
2017-02-12,34.8,22.5,0.00,21.5,27.9
2017-02-13,34.5,22.8,0.00,26.0,28.5
2017-02-14,32.5,23.7,0.00,28.9,28.4
2017-02-15,36.3,23.4,0.00,26.7,29.5
2017-02-16,35.3,22.6,0.00,27.7,28.5
2017-02-17,35.2,21.5,0.00,26.6,28.1
2017-02-18,35.8,22.2,0.00,24.1,27.7
2017-02-19,37.7,23.2,0.00,19.6,29.0
2017-02-20,35.2,24.5,0.20,18.5,28.6
2017-02-21,34.6,24.8,0.00,19.8,28.8
2017-02-22,38.5,25.0,0.00,22.4,29.6
2017-02-23,38.5,23.7,0.00,20.5,29.9
2017-02-24,38.9,23.5,0.00,23.8,30.0
2017-02-25,39.0,23.8,0.00,23.0,30.2
2017-02-26,38.5,24.5,0.50,19.3,30.1
2017-02-27,36.1,25.0,0.00,24.1,30.0
2017-02-28,36.3,24.4,0.00,23.0,30.1
2017-03-01,36.9,23.9,0.00,25.2,29.9
2017-03-02,36.8,24.5,0.00,23.8,30.6
2017-03-03,38.0,26.1,0.10,19.1,30.9
2017-03-04,35.5,24.0,6.80,19.1,27.8
2017-03-05,32.0,24.5,3.10,14.1,27.9
2017-03-06,30.5,24.8,4.60,12.9,27.5
2017-03-07,30.8,24.2,4.50,13.7,27.1
2017-03-08,31.2,24.2,11.00,12.3,27.3
2017-03-09,30.9,24.0,3.70,13.4,27.2
2017-03-10,32.3,23.6,3.50,22.3,27.0
2017-03-11,34.1,23.0,0.00,18.5,27.7
2017-03-12,34.3,22.8,0.00,18.4,27.8
2017-03-13,35.2,22.9,0.00,18.6,28.5
2017-03-14,33.8,24.8,1.70,11.8,28.8
2017-03-15,34.4,23.6,7.10,17.7,27.8
2017-03-16,30.9,23.6,0.50,14.8,26.6
2017-03-17,33.7,23.7,3.40,12.2,27.6
2017-03-18,32.9,24.2,9.70,14.1,27.5
2017-03-19,33.8,24.5,3.10,14.1,28.1
2017-03-20,32.6,24.5,1.30,15.3,27.9
2017-03-21,34.0,24.9,0.00,11.6,28.4
2017-03-22,35.8,24.8,0.00,20.1,29.2
2017-03-23,38.0,25.0,0.00,24.1,29.9
2017-03-24,39.4,24.8,0.00,15.2,30.6
2017-03-25,40.2,24.8,0.00,20.4,30.8
2017-03-26,40.7,26.0,0.00,20.8,31.3
2017-03-27,40.2,25.6,0.00,17.1,31.2
2017-03-28,38.2,25.9,0.00,22.5,30.0
2017-03-29,38.8,25.6,0.00,23.8,30.2
2017-03-30,40.4,26.2,0.00,21.4,31.1
2017-03-31,40.5,26.4,0.10,18.9,32.0
2017-04-01,41.4,26.2,1.10,26.3,30.8
2017-04-02,39.2,25.5,1.30,24.6,30.2
2017-04-03,37.9,26.3,0.20,20.1,30.2
2017-04-04,35.2,26.1,8.30,19.9,29.1
2017-04-05,35.2,26.2,2.80,19.1,29.3
2017-04-06,35.2,25.1,1.10,17.9,29.5
2017-04-07,35.8,24.8,0.10,18.6,29.8
2017-04-08,37.5,25.6,0.50,17.8,30.2
2017-04-09,35.7,24.8,3.40,18.9,29.3
2017-04-10,34.1,25.7,1.30,18.0,28.9
2017-04-11,33.6,25.9,8.30,16.0,28.6
2017-04-12,34.2,25.3,0.90,16.3,29.3
2017-04-13,34.7,24.4,2.70,19.5,28.6
2017-04-14,33.3,25.4,1.40,21.3,28.4
2017-04-15,35.0,25.4,1.20,18.8,29.1
2017-04-16,32.0,25.5,4.40,20.4,28.4
2017-04-17,31.7,25.8,4.80,19.1,28.3
2017-04-18,32.7,26.0,4.20,18.8,28.7
2017-04-19,31.0,26.5,3.50,19.7,28.4
2017-04-20,30.4,24.8,3.40,17.1,27.7
2017-04-21,28.8,25.1,13.30,16.6,26.7
2017-04-22,30.9,25.3,2.50,17.7,27.5
2017-04-23,31.1,25.8,5.30,17.5,28.2
2017-04-24,33.7,25.8,0.30,18.2,29.0
2017-04-25,34.7,25.4,1.30,17.9,29.6
2017-04-26,35.0,26.5,1.60,16.5,29.8
2017-04-27,35.8,26.9,1.30,17.0,30.2
2017-04-28,35.7,26.6,2.10,16.1,29.8
2017-04-29,35.4,26.5,0.10,15.0,30.0
2017-04-30,37.2,25.6,4.70,15.2,30.1
2017-05-01,31.6,25.3,5.50,15.2,28.3
2017-05-02,34.2,24.0,8.50,22.3,28.2
2017-05-03,35.5,24.9,7.40,16.4,28.5
2017-05-04,35.5,25.3,1.10,16.8,29.6
